img_file_name,apple_kind,sugar_content_nir,soil_ec,soil_temper,soil_humidity,soil_potential,temperature,humidity,sunshine,sunrise_time,sunset_time,sugar_grade,daylight_hours
20210829_RGB_09.0_F02_HJ_06_017_03_0_A.jpg,HJ,9.0,1.05,22.96,19.2,-0.1,23.47,95.55,25.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F02_HJ_08_028_03_0_A.jpg,HJ,9.0,1.05,22.96,19.2,-0.1,23.47,95.55,25.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F02_HJ_08_028_04_0_A.jpg,HJ,9.0,1.05,22.96,19.2,-0.1,23.47,95.55,25.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F03_HJ_03_001_01_0_A.jpg,HJ,9.0,1.02,21.2,29.19,-0.2,20.96,96.37,22.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F03_HJ_03_001_02_0_A.jpg,HJ,9.0,1.02,21.2,29.19,-0.2,20.96,96.37,22.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F03_HJ_03_001_03_0_A.jpg,HJ,9.0,1.02,21.2,29.19,-0.2,20.96,96.37,22.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F03_HJ_03_001_05_270_A.jpg,HJ,9.0,1.02,21.2,29.19,-0.2,20.96,96.37,22.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_01_022_01_0_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_01_022_03_0_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_02_021_05_270_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_03_009_01_0_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_03_009_02_0_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_04_011_01_0_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F09_HJ_04_011_05_270_A.jpg,HJ,9.0,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F10_HJ_01_001_01_0_A.jpg,HJ,9.0,1.06,22.3,11.37,-0.1,23.69,98.7,37.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F10_HJ_01_001_03_0_A.jpg,HJ,9.0,1.06,22.3,11.37,-0.1,23.69,98.7,37.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F10_HJ_01_001_04_0_A.jpg,HJ,9.0,1.06,22.3,11.37,-0.1,23.69,98.7,37.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F10_HJ_01_001_05_270_A.jpg,HJ,9.0,1.06,22.3,11.37,-0.1,23.69,98.7,37.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F14_HJ_10_027_05_270_A.jpg,HJ,9.0,0.6,21.7,31.85,-0.1,19.67,99.99,74.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F14_HJ_13_009_04_0_A.jpg,HJ,9.0,0.6,21.7,31.85,-0.1,19.67,99.99,74.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F14_HJ_13_009_05_270_A.jpg,HJ,9.0,0.6,21.7,31.85,-0.1,19.67,99.99,74.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F14_HJ_14_005_02_0_A.jpg,HJ,9.0,0.6,21.7,31.85,-0.1,19.67,99.99,74.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F14_HJ_14_005_04_0_A.jpg,HJ,9.0,0.6,21.7,31.85,-0.1,19.67,99.99,74.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F14_HJ_14_005_05_270_A.jpg,HJ,9.0,0.6,21.7,31.85,-0.1,19.67,99.99,74.0,05:49,19:01,C,13.2
20210829_RGB_09.0_F15_HJ_06_007_01_0_A.jpg,HJ,9.0,1.3,21.41,21.41,-2.7,17.78,92.4,105.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_007_01_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_007_02_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_007_05_270_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_019_01_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_019_02_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_019_03_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_019_04_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_05_019_05_270_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_07_019_01_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_07_019_03_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_08_004_02_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_08_004_03_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F06_HJ_08_004_04_0_A.jpg,HJ,9.1,0.59,20.2,32.48,-0.1,22.35,97.78,60.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F09_HJ_07_002_03_0_A.jpg,HJ,9.1,1.06,22.58,19.74,-0.2,23.69,95.34,31.0,05:49,19:01,C,13.2
20210829_RGB_09.1_F11_HJ_06_019_04_0_A.jpg,HJ,9.1,0.32,22.26,6.54,-0.1,23.26,94.54,137.0,05:49,19:01,C,13.2
